id	rate
01913	4320
01915	69213
01921	28403
01922	3250
01923	37325
01929	9750
01930	95747
01931	1000
01936	3420
01938	37178
01940	14791
01944	94310
01945	102755
01949	4095
01950	24494
01951	6400
01952	715
01960	12340
01965	9100
01966	17700
01969	13425
01970	85341
01982	48117
01983	14400
01984	5705
01985	5450
02019	2900
02021	28076
02025	115850
02026	52573
02030	55362
02032	1005
02035	197672
02038	5099
02043	232615
02045	2990
02048	5250
02050	13710
02051	1716
02052	10274
02053	4902
02054	5726
02056	3072
02061	17800
02062	13800
02066	35550
02067	40284
02071	500
02072	17266
02081	23900
02090	128800
02093	2250
02108	755660
02109	196359
02110	490456
02111	149991
02112	5650
02113	25501
02114	157291
02115	80861
02116	855471
02117	9100
02118	278576
02119	23175
02120	2042
02121	9312
02122	5050
02124	33587
02125	19355
02126	3295
02127	73963
02128	11550
02129	348613
02130	182603
02131	27472
02132	46440
02133	1625
02134	16800
02135	24880
02136	6270
02137	44344
02138	1796012
02139	174396
02140	166082
02141	34930
02142	72500
02143	57275
02144	180657
02145	25632
02146	5700
02148	164362
02149	2510
02150	6250
02151	8929
02152	7051
02155	50297
02156	450
02163	500
02167	5200
02169	17486
02170	7406
02171	20550
02174	250
02176	47014
02180	3285
02184	22935
02185	1000
02186	173865
02188	4250
02189	1260
02190	6200
02191	24500
02192	1000
02196	300
02199	338069
02205	2500
02210	87415
02215	31288
02238	126345
02269	12000
02301	1350
02302	5
02303	500
02324	8548
02330	90
02331	1500
02332	43426
02333	1200
02338	250
02339	6720
02341	1700
02343	2037
02346	2700
02347	500
02351	1950
02356	33250
02359	7275
02360	26246
02362	250
02364	4200
02368	8780
02370	1490
02375	12757
02379	2120
02381	0
02382	2050
02420	71244
02421	291063
02445	432424
02446	209722
02451	59560
02452	6290
02453	33689
02454	82100
02456	25
02458	101751
02459	423452
02460	30120
02461	48736
02462	28407
02464	13275
02465	136835
02466	37809
02467	524966
02468	106816
02472	63281
02474	41551
02476	46955
02478	425073
02479	9000
02481	224116
02482	99660
02492	135153
02493	897287
02494	37523
02532	11166
02534	350
02535	48151
02536	14913
02537	17259
02539	32143
02540	18240
02541	500
02543	3500
02553	4000
02554	114867
02556	3500
02557	8150
02558	250
02559	508
02562	500
02563	750
02564	8650
02568	17320
02571	5750
02574	500
02575	11625
02584	4360
02601	1005
02630	2250
02631	31642
02632	2450
02633	25587
02635	9710
02637	225
02638	105
02639	530
02641	785
02642	3764
02643	5525
02644	115
02645	1925
02646	2775
02647	2700
02648	5255
02649	6160
02650	400
02651	2000
02652	400
02653	19015
02655	6370
02657	122314
02659	1000
02662	1500
02663	775
02664	1021
02666	10700
02667	7131
02668	6575
02670	550
02671	1850
02672	505
02673	2400
02675	2050
02702	1425
02703	4123
02718	8
02719	2050
02720	8910
02721	4000
02722	8700
02723	750
02724	1250
02726	6500
02738	48150
02739	10862
02740	6700
02742	750
02743	200
02745	750
02747	3160
02748	23922
02760	3285
02762	4550
02764	3200
02766	11900
02767	5400
02769	4050
02770	1000
02771	5580
02777	5150
02779	700
02780	10705
02790	12626
02791	1300
02802	750
02804	250
02806	142615
02807	750
02809	54570
02813	5280
02814	4255
02816	20317
02817	3050
02818	156300
02822	4450
02825	5800
02827	3350
02828	5700
02830	250
02831	4362
02832	1000
02835	143103
02837	18265
02838	300
02840	62835
02842	15601
02852	54596
02857	6200
02859	2279
02860	47410
02861	2800
02862	250
02864	13318
02865	39560
02871	20127
02874	17183
02876	250
02878	8850
02879	31328
02880	250
02881	9450
02882	34100
02885	3930
02886	59303
02887	375812
02888	8400
02889	15477
02891	14205
02892	7850
02893	3270
02895	5955
02896	8850
02898	500
02901	17950
02903	242152
02904	82050
02905	10895
02906	353095
02907	5505
02908	24970
02909	11290
02910	27040
02911	4100
02914	4150
02915	2621
02916	7350
02917	9710
02919	12915
02920	174559
02921	25043
02940	59238
03031	11150
03032	400
03033	751
03034	3155
03036	500
03037	1750
03038	7514
03042	1365
03043	320
03045	1253
03046	2000
03047	970
03049	19562
03051	5361
03052	750
03053	4406
03054	4967
03055	2375
03057	233
03060	5415
03062	20014
03063	7238
03064	11200
03070	3250
03071	2750
03076	1800
03079	7957
03082	200
03084	500
03086	300
03087	8350
03101	2232
03102	4069
03103	1311
03104	44675
03105	10350
03106	2100
03109	2215
03110	1019550
03215	250
03216	3750
03217	1450
03218	2000
03221	1250
03222	2110
03223	775
03224	6640
03225	500
03226	7325
03227	5450
03229	35682
03231	650
03233	400
03234	250
03235	1000
03237	1780
03241	300
03242	6850
03244	1400
03245	56950
03246	3650
03249	730
03251	20
03253	8400
03254	1350
03255	1250
03256	8400
03257	30155
03259	250
03260	131
03263	500
03264	2321
03266	500
03268	900
03269	250
03275	500
03276	250
03278	6250
03280	250
03281	1219
03287	2335
03290	1000
03293	500
03301	642913
03302	118600
03303	14650
03304	11850
03307	1000
03431	42539
03440	798
03444	7481
03445	11550
03446	50
03449	24599
03450	1000
03451	310
03452	4000
03455	5532
03457	3199
03458	25322
03461	75
03462	5587
03464	1000
03466	1844
03467	450
03470	1400
03561	10360
03574	5183
03576	225
03580	4750
03581	500
03583	500
03584	750
03585	250
03586	1250
03593	1750
03598	1625
03601	300
03602	1500
03603	500
03608	12854
03741	1025
03743	750
03745	4450
03748	1671
03750	23400
03751	250
03753	4800
03755	75798
03766	28205
03768	26800
03769	500
03770	4500
03773	1000
03774	233
03777	2000
03779	500
03780	1000
03781	875
03782	7298
03784	2187
03785	230
03801	122843
03802	1000
03809	250
03810	2600
03811	1500
03812	100
03813	2250
03814	500
03816	300
03817	250
03818	2738
03820	23902
03821	750
03823	250
03824	34509
03825	1000
